match_id,card_type,player_name, minute
match123,Yellow,Gareth Bale,44
match123,Yellow,Joan Jordán,36
match123,Yellow,Marc Cucurella,33
match124,Red,Chimy Ávila,96
match124,Yellow,Chimy Ávila,81
match124,Yellow,Antonio García Aranda,81
match124,Yellow,Xabier Etxeita,76
match124,Yellow,Aleksandar Jovanović,75
match124,Yellow,Sanjin Prcić,67
match124,Yellow,Jorge Pulido,12
match124,Yellow,Nikola Vukčević,10
match125,Red,Luis Advíncula,87
match125,Yellow,Carlos Soler,74
match125,Yellow,Alejandro Gálvez,51
match125,Yellow,Santiago Comesaña Veiga,41
match125,Yellow,Mouctar Diakhaby,28
match125,Yellow,Luis Advíncula,22
match126,Yellow,Jaime Mata,95
match126,Yellow,Aritz Aduriz,94
match126,Yellow,Iñigo Córdoba,94
match126,Yellow,Iñigo Martínez,80
match126,Yellow,Peru Nolaskoain,73
match126,Yellow,Leandro Cabrera,32
match126,Yellow,Amath Ndiaye,29
match126,Yellow,Mauro Arambarri,27
match126,Yellow,Unai Nuñez,25
match127,Yellow,Mario Hermoso,89
match127,Yellow,Pere Pons,89
match127,Yellow,Borja Iglesias,75
match127,Yellow,Cristhian Stuani,41
match127,Yellow,Diego López Rodríguez,41
match127,Yellow,Carles Planas,28
match127,Yellow,Jonás Ramalho,26
match128,Yellow,Joaquín Fernández Moreno,89
match128,Yellow,Borja Fernández Fernández,87
match128,Yellow,Aleix Vidal,81
match128,Yellow,Daniel Carriço,64
match128,Yellow,Sergio Escudero Palomo,39
match128,Yellow,Antonio Jesús Regal Angulo,21
match129,Yellow,Sergio Canales,89
match129,Yellow,Víctor Ruiz Torre,89
match129,Yellow,Manu Morlanes,72
match130,Yellow,Mikel Oyarzabal,92
match130,Yellow,Sandro Ramírez,89
match130,Yellow,Maxi Gómez,87
match130,Yellow,David Juncà Reñé,76
match131,Yellow,Alexandre Moreno,80
match131,Yellow,Óscar Trejo,75
match131,Yellow,Gorka Elustondo,67
match131,Yellow,Rubén Peña Jiménez,65
